# Profils DoG le long des V2 extremes
# V2 #1 : centre x=365.98, mediane=1.037, MAD=2.407, seuil=145.667
# Positions predites (33) : 363.3,751.8,1140.3,1528.8,1917.3,2305.8,2694.3,3082.8,3471.3,3859.8,4248.3,4636.8,5025.3,5413.8,5802.3,6190.8,6579.3,6967.8,7356.3,7744.8,8133.3,8521.8,8910.3,9298.8,9687.3,10075.8,10464.3,10852.8,11241.3,11629.8,12018.3,12406.8,12795.3,13183.8,13572.3
# V2 #2 : centre x=781.08, mediane=1.002, MAD=2.584, seuil=151.167
# Positions predites (33) : 363.8,752.3,1140.7,1529.2,1917.7,2306.2,2694.7,3083.1,3471.6,3860.1,4248.6,4637.1,5025.5,5414.0,5802.5,6191.0,6579.5,6967.9,7356.4,7744.9,8133.4,8521.9,8910.3,9298.8,9687.3,10075.8,10464.3,10852.7,11241.2,11629.7,12018.2,12406.7,12795.1,13183.6,13572.1
# V2 #3 : centre x=1195.01, mediane=1.035, MAD=2.750, seuil=142.833
# Positions predites (33) : 365.2,753.7,1142.1,1530.6,1919.0,2307.5,2695.9,3084.4,3472.8,3861.3,4249.7,4638.2,5026.6,5415.1,5803.6,6192.0,6580.5,6968.9,7357.4,7745.8,8134.3,8522.7,8911.2,9299.6,9688.1,10076.5,10465.0,10853.4,11241.9,11630.3,12018.8,12407.3,12795.7,13184.2,13572.6
# V2 #22 : centre x=9049.26, mediane=0.875, MAD=3.618, seuil=112.333
# Positions predites (33) : 347.0,737.8,1128.7,1519.6,1910.4,2301.3,2692.2,3083.0,3473.9,3864.8,4255.6,4646.5,5037.4,5428.2,5819.1,6210.0,6600.8,6991.7,7382.6,7773.4,8164.3,8555.2,8946.0,9336.9,9727.8,10118.6,10509.5,10900.4,11291.2,11682.1,12073.0,12463.8,12854.7,13245.6,13636.4
# V2 #23 : centre x=9455.52, mediane=0.901, MAD=3.908, seuil=144.333
# Positions predites (33) : 661.0,1046.6,1432.2,1817.9,2203.5,2589.1,2974.7,3360.4,3746.0,4131.6,4517.2,4902.8,5288.5,5674.1,6059.7,6445.3,6830.9,7216.6,7602.2,7987.8,8373.4,8759.1,9144.7,9530.3,9915.9,10301.5,10687.2,11072.8,11458.4,11844.0,12229.6,12615.3,13000.9,13386.5,13772.1
# y,v1,v2,v3,v22,v23
0,-1.71,2.40,-1.15,-0.97,-0.01
4,2.19,-1.55,3.10,0.23,-0.01
8,-0.17,-1.51,-1.07,-0.93,-0.01
12,-4.86,-0.99,2.14,-0.48,-0.02
16,7.29,-0.55,-0.76,0.86,-0.02
20,-0.41,1.14,-0.66,-0.11,-0.03
24,0.57,0.16,-0.77,0.29,-0.03
28,-0.28,5.49,0.17,-0.37,0.77
32,-5.02,-0.96,1.43,-0.60,-0.03
36,-5.19,-1.20,-0.50,2.63,-0.03
40,-0.06,-1.07,-0.36,0.64,-0.02
44,3.72,-0.80,-0.11,-0.71,-0.02
48,-3.23,4.01,-0.11,-0.57,-0.01
52,4.16,-0.33,-0.28,-0.44,-0.01
56,-2.65,-0.79,-0.07,0.12,-0.00
60,-2.50,1.10,-0.22,-0.23,-0.00
64,-1.06,-0.46,-0.21,-0.16,-0.00
68,3.07,-0.66,0.60,-0.12,-0.00
72,-1.69,0.79,0.01,0.09,0.00
76,-1.26,0.12,-0.13,-0.07,0.00
80,-1.86,-0.46,-0.15,0.11,0.00
84,-2.41,0.53,-0.12,-0.06,0.00
88,1.72,-0.47,-0.09,-0.06,0.00
92,3.91,0.25,-0.07,0.59,0.00
96,6.46,-0.47,-0.05,0.12,0.00
100,0.44,0.86,0.45,-0.05,0.00
104,3.11,-0.71,-0.03,-0.05,0.00
108,-3.47,0.03,-0.02,-0.05,0.00
112,-0.54,0.80,-0.02,-0.06,0.00
116,-1.32,-0.69,-0.01,-0.08,0.00
120,-2.52,-0.47,-0.01,-0.11,-0.00
124,2.00,-0.15,-0.00,-0.15,-0.00
128,3.21,1.39,-0.00,-0.20,-0.00
132,-2.15,-0.53,-0.00,-0.17,-0.00
136,-0.98,-0.48,-0.00,2.93,-0.01
140,-2.99,-0.45,-0.00,-0.08,-0.01
144,-1.00,0.21,0.00,0.02,-0.01
148,-1.19,-0.42,0.00,-0.03,-0.02
152,-2.13,-0.43,0.00,-0.17,-0.02
156,5.33,1.46,0.00,-0.13,0.04
160,-0.44,2.71,0.00,-0.09,-0.02
164,0.19,-0.49,0.00,-0.06,-0.02
168,-2.59,3.41,-0.00,-0.05,-0.02
172,-3.13,-0.50,-0.00,-0.01,-0.01
176,2.35,-0.51,-0.01,-0.03,-0.01
180,1.85,-0.51,-0.01,-0.02,-0.01
184,-2.08,-0.31,-0.02,-0.02,-0.00
188,-2.25,2.15,-0.03,-0.03,-0.00
192,1.01,-0.43,-0.05,-0.03,-0.00
196,1.62,-0.36,-0.07,-0.04,-0.00
200,-3.23,-0.28,-0.08,-0.05,0.00
204,2.99,-0.20,-0.09,-0.04,0.00
208,-2.48,-0.14,0.28,-0.07,0.00
212,-0.39,-0.09,-0.08,0.10,0.00
216,-2.41,-0.06,-0.07,-0.08,0.00
220,5.74,-0.05,-0.06,0.89,0.00
224,-3.58,-0.04,-0.04,-0.07,0.00
228,10.85,-0.05,-0.02,0.27,-0.00
232,-1.78,0.02,-0.01,-0.05,-0.00
236,-2.29,-0.05,-0.01,-0.04,-0.00
240,-3.28,0.21,-0.01,-0.03,-0.00
244,-3.50,-0.57,-0.21,-0.03,-0.01
248,-0.64,-1.60,-0.82,-0.03,-0.01
252,-7.29,-3.72,-2.17,-0.19,-0.13
256,-6.82,-7.71,-4.85,-0.74,-0.57
260,-18.03,-14.56,-9.70,-1.97,-1.54
264,-32.73,-25.31,-17.73,-4.42,-3.48
268,-50.71,-40.73,-29.85,-8.65,-6.67
272,-67.64,-60.97,-46.64,-16.49,-13.03
276,-73.10,-82.84,-67.73,-28.06,-22.17
280,69.89,30.76,-76.24,-44.33,-35.00
284,52.72,65.66,59.69,-65.22,-51.44
288,53.00,57.15,45.98,-75.01,-68.37
292,32.73,40.84,57.46,45.30,36.17
296,18.79,31.13,42.23,71.28,52.06
300,12.96,22.55,25.68,59.36,44.71
304,8.71,4.62,10.29,33.14,22.94
308,4.70,0.47,-1.19,32.02,26.05
312,8.13,11.99,15.11,22.78,3.81
316,-0.35,6.62,3.64,2.36,-7.04
320,1.23,-5.80,2.72,8.00,7.61
324,-18.59,7.26,1.01,-8.47,6.38
328,-4.09,-11.94,9.21,2.73,-4.06
332,4.35,12.38,-0.20,-5.65,10.20
336,11.69,-7.58,2.03,-11.87,5.27
340,11.76,5.73,-5.56,6.37,6.57
344,14.34,16.74,-2.55,-0.24,-3.49
348,-18.39,17.04,11.16,-41.54,-4.85
352,6.52,10.51,12.51,5.27,4.01
356,27.98,17.47,15.55,14.53,1.50
360,16.85,21.23,7.33,23.01,-2.26
364,-37.00,6.56,5.49,9.63,-3.93
368,-66.96,-151.45,-40.54,26.27,-4.84
372,6.66,-8.91,-44.24,12.84,-7.65
376,5.38,19.59,5.86,-49.79,5.46
380,7.00,24.72,8.60,-109.32,-0.04
384,18.20,19.93,4.05,-1.06,4.36
388,12.16,14.45,7.99,20.99,-12.07
392,8.66,10.22,9.16,5.32,5.59
396,4.66,3.16,6.98,15.70,14.57
400,-20.91,-4.26,-0.36,8.38,5.20
404,3.58,0.69,4.62,12.59,-6.52
